Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
USAG-Humphreys,2011,PE,100000000.0,70000.0,3,0,
Ankeny Parks and Recreation,2012,IA,,55000.0,41,10,19
Manteca Parks and Recreation,2010,CA,115444246.0,67096.0,,,
Manteca Parks and Recreation,2017,CA,38900408.0,73000.0,,,
Foothills Park and Recreation District,2010,CO,21661551.0,91947.0,70,0,249
Foothills Park and Recreation District,2012,CO,15306503.0,93000.0,47,23,250
Wyoming Parks and Recreation,2012,MI,,72833.0,21,1,
Alhambra (City of)Community Services,2013,CA,118933117.0,84332.0,5,4,
South Davis Recreation District,2012,UT,5439165.0,91359.0,,,
South Davis Recreation District,2014,UT,4462000.0,94000.0,,,11
South Davis Recreation District,2015,UT,6000000.0,90000.0,,,0
Boca Raton Recreation Services Department,2011,FL,333780100.0,84392.0,43,0,514
Boca Raton Recreation Services Department,2018,FL,447242900.0,91797.0,41,57,515
Boca Raton Recreation Services Department,2016,FL,374439000.0,86647.0,41,57,578
Boca Raton Recreation Services Department,2022,FL,1007987000.0,99542.0,43,57,615
Boca Raton Recreation Services Department,2020,FL,772646200.0,91797.0,42,57,540
Pearland Parks and Recreation ,2013,TX,48976401.0,95600.0,47,0,141
Pearland Parks and Recreation ,2011,TX,48976401.0,95600.0,47,0,141
Pearland Parks and Recreation ,2012,TX,48976401.0,95600.0,47,0,141
Yucaipa (City of) Community Service,2013,CA,,51000.0,14,10,7
Logan Parks and Recreation Department,2020,UT,5900000.0,50863.0,46,47,74
S Charles Parks and Recreation Department,2010,MO,5000000.0,63009.0,,,
S Charles Parks and Recreation Department,2019,MO,6400000.0,70764.0,23,0,96
S Charles Parks and Recreation Department,2021,MO,7377824.0,70764.0,25,0,95
S Charles Parks and Recreation Department,2020,MO,6400000.0,70764.0,23,0,96
Oxford Park Commission,2016,MS,1404416.0,55000.0,,,
Kettering Parks Rec and Cultural  Arts,2011,OH,12545100.0,56163.0,,,
Kettering Parks Rec and Cultural  Arts,2013,OH,13758200.0,56163.0,21,0,0
Kettering Parks Rec and Cultural  Arts,2014,OH,14388656.0,55696.0,21,7,127
Kettering Parks Rec and Cultural  Arts,2018,OH,15002400.0,55175.0,21,7,134
Kettering Parks Rec and Cultural  Arts,2019,OH,15254100.0,56163.0,21,,131
Kettering Parks Rec and Cultural  Arts,2022,OH,83786050.0,57862.0,21,7,139
Kettering Parks Rec and Cultural  Arts,2021,OH,77146770.0,56163.0,21,7,134
Kettering Parks Rec and Cultural  Arts,2020,OH,41051123.0,56163.0,21,7,132
Council Bluffs Parks and Recreation,2011,IA,,60000.0,39,0,30
Council Bluffs Parks and Recreation,2019,IA,145746460.0,62421.0,29,3,40
Council Bluffs Parks and Recreation,2017,IA,62909000.0,62230.0,27,12,57
Council Bluffs Parks and Recreation,2021,IA,153352227.0,62335.0,31,,41
Boynton Beach Recreation and Parks Dep,2012,FL,65142275.0,70000.0,32,0,50
Boynton Beach Recreation and Parks Dep,2011,FL,68550846.0,68217.0,32,0,55
Boynton Beach Recreation and Parks Dep,2010,FL,72537334.0,68000.0,32,0,61
Boynton Beach Recreation and Parks Dep,2015,FL,72540113.0,73124.0,32,0,50
Boynton Beach Recreation and Parks Dep,2013,FL,68821524.0,71097.0,32,0,50
Boynton Beach Recreation and Parks Dep,2014,FL,71267135.0,73124.0,32,0,50
Boynton Beach Recreation and Parks Dep,2022,FL,219325280.0,80000.0,,,
Boynton Beach Recreation and Parks Dep,2020,FL,,81676.0,32,,28
Oswegoland Park District,2015,IL,,55000.0,60,13,0
Oswegoland Park District,2019,IL,12895729.0,57000.0,65,7,161
Oswegoland Park District,2017,IL,14638679.0,55000.0,63,7,158
Oswegoland Park District,2016,IL,,55000.0,60,12,
Oswegoland Park District,2021,IL,12895729.0,57000.0,65,7,161
Oswegoland Park District,2020,IL,12895729.0,57000.0,65,7,161
Oswegoland Park District,2022,IL,12895729.0,57000.0,65,7,161
Oswegoland Park District,2023,IL,12895729.0,57000.0,65,7,161
Schaumburg Park District,2011,IL,24225325.0,75000.0,103,0,292
Schaumburg Park District,2012,IL,32000000.0,75000.0,103,0,292
Schaumburg Park District,2010,IL,24225325.0,75000.0,103,0,292
Schaumburg Park District,2013,IL,32000000.0,75000.0,103,0,292
Schaumburg Park District,2014,IL,36000000.0,74227.0,103,0,304
Schaumburg Park District,2015,IL,25665989.0,74227.0,103,0,297
Schaumburg Park District,2018,IL,26500000.0,75000.0,,,505
Schaumburg Park District,2020,IL,27488000.0,75000.0,103,2,171
Schaumburg Park District,2022,IL,27488000.0,75000.0,103,2,171
Schaumburg Park District,2021,IL,24560000.0,75000.0,103,2,200
"Waukesha Parks, Recreation and Forestry ",2017,WI,5445207.0,72363.0,,,
"Waukesha Parks, Recreation and Forestry ",2016,WI,5330050.0,72500.0,,,
"Waukesha Parks, Recreation and Forestry ",2018,WI,64975755.0,72363.0,49,67,86
"Waukesha Parks, Recreation and Forestry ",2019,WI,7381601.0,72549.0,49,,39
"Waukesha Parks, Recreation and Forestry ",2022,WI,74612387.0,72299.0,50,32,103
Lee's Summit Parks and Recreation,2019,MO,154565643.0,98461.0,29,2,133
Lee's Summit Parks and Recreation,2016,MO,7335966.0,96076.0,33,2,112
Lee's Summit Parks and Recreation,2017,MO,162606729.0,96076.0,29,2,110
Lee's Summit Parks and Recreation,2011,MO,7081506.0,91364.0,27,0,85
Lee's Summit Parks and Recreation,2014,MO,7649449.0,93184.0,,,
Lee's Summit Parks and Recreation,2015,MO,7649449.0,93184.0,,,
Lee's Summit Parks and Recreation,2020,MO,180721000.0,99357.0,29,2,97
Woodbury Parks and Recreation Department,2019,MN,35753983.0,71306.0,55,,59
Woodbury Parks and Recreation Department,2018,MN,34092500.0,70559.0,55,,71
Oak Lawn Park District,2018,IL,10193000.0,56087.0,23,5,157
Oak Lawn Park District,2019,IL,10190000.0,55511.0,23,5,156
Oak Lawn Park District,2016,IL,9635036.0,56690.0,23,5,56
Oak Lawn Park District,2017,IL,9872616.0,56257.0,23,5,155
Oak Lawn Park District,2010,IL,10434972.0,54000.0,27,0,146
Oak Lawn Park District,2011,IL,10434972.0,54000.0,27,0,146
Oak Lawn Park District,2012,IL,10434972.0,54000.0,27,0,146
Oak Lawn Park District,2015,IL,9961137.0,56690.0,23,5,147
Oak Lawn Park District,2013,IL,10434972.0,54000.0,27,0,146
Oak Lawn Park District,2014,IL,10434972.0,57073.0,27,0,147
Oak Lawn Park District,2020,IL,9937000.0,55511.0,23,5,149
Lehi Legacy Community Center,2012,UT,102000000.0,50000.0,,,74
Lehi Legacy Community Center,2018,UT,5920618.0,62712.0,,,
Framingham Parks and Recreation,2011,MA,,68318.0,,,
Framingham Parks and Recreation,2019,MA,4437021.0,73123.0,67,,25
Daviess County Fiscal Court Parks and Recreation,2013,KY,36294737.0,96000.0,9,0,16
Daviess County Fiscal Court Parks and Recreation,2014,KY,30000000.0,96000.0,7,1,17
Rocky Mount (City of) Parks and Recreation,2011,NC,,57477.0,50,0,69
Rocky Mount (City of) Parks and Recreation,2012,NC,,57477.0,50,0,69
Rocky Mount (City of) Parks and Recreation,2019,NC,11000000.0,57000.0,50,10,70
Rocky Mount (City of) Parks and Recreation,2020,NC,11000000.0,57000.0,50,10,70
Clinton County Parks and Green Space Commission,2015,MI,20500939.0,77297.0,2,1,2
Greenville Recreation and Parks Department,2013,NC,114194432.0,87242.0,25,7,55
Greenville Recreation and Parks Department,2011,NC,,84554.0,,,
Greenville Recreation and Parks Department,2019,NC,7014081.0,93137.0,,,
Greenville Recreation and Parks Department,2020,NC,399961656.0,92156.0,19,9,63
Temple Parks and Recreation,2013,TX,9443642.0,66102.0,47,14,149
Temple Parks and Recreation,2014,TX,9443642.0,66102.0,47,14,149
Temple Parks and Recreation,2011,TX,,66102.0,,,96
Temple Parks and Recreation,2012,TX,,66102.0,47,14,96
Temple Parks and Recreation,2017,TX,140508327.0,66102.0,57,70,147
Temple Parks and Recreation,2016,TX,140508327.0,66102.0,57,70,147
Temple Parks and Recreation,2019,TX,147690993.0,80000.0,65,16,
Jurupa Community Services District,2015,CA,8609208.0,53668.0,12,0,47
Jurupa Community Services District,2014,CA,8181569.0,53668.0,12,0,56
Jurupa Community Services District,2019,CA,11575567.0,60023.0,16,,31
Jurupa Community Services District,2018,CA,11575567.0,59053.0,16,0,
Jurupa Community Services District,2016,CA,11763930.0,53668.0,14,0,50
Jurupa Community Services District,2017,CA,10488982.0,59053.0,16,0,65
Jurupa Community Services District,2020,CA,12120926.0,60023.0,17,,31
Jurupa Community Services District,2021,CA,12355840.0,60023.0,17,,31
Jurupa Community Services District,2022,CA,12609310.0,60023.0,17,,31
Nampa Parks and Recreation,2011,ID,81286150.0,81557.0,,,
Nampa Parks and Recreation,2012,ID,83402179.0,82000.0,,,
Nampa Parks and Recreation,2016,ID,102744762.0,90860.0,27,50,120
Nampa Parks and Recreation,2017,ID,103081384.0,96820.0,27,50,123
Battle Creek (City of) ,2012,MI,2858797.0,51843.0,31,0,26
City of Davis Parks and Community Services,2012,CA,,66005.0,,,
City of Davis Parks and Community Services,2011,CA,,65000.0,,,
City of Davis Parks and Community Services,2015,CA,13271797.0,66742.0,,,
City of Davis Parks and Community Services,2023,CA,15361107.0,66799.0,,,
Carmel Clay Parks and Recreation,2021,IN,11322321.0,99757.0,18,2,150
Carmel Clay Parks and Recreation,2020,IN,12522928.0,95797.0,17,2,166
Carmel Clay Parks and Recreation,2019,IN,13567512.0,95797.0,17,,180
Carmel Clay Parks and Recreation,2018,IN,12637408.0,92198.0,17,0,172
Carmel Clay Parks and Recreation,2016,IN,11780919.0,93713.0,17,0,174
Carmel Clay Parks and Recreation,2011,IN,,81564.0,,,
Carmel Clay Parks and Recreation,2012,IN,,81564.0,16,0,169
Carmel Clay Parks and Recreation,2015,IN,11403196.0,86682.0,17,,0
"Evanston Parks, Recreation and Community Services",2014,IL,254627610.0,75430.0,,,
"Evanston Parks, Recreation and Community Services",2012,,,75000.0,,,
"Evanston Parks, Recreation and Community Services",2017,IL,308767454.0,75000.0,76,0,133
"Evanston Parks, Recreation and Community Services",2018,IL,335464008.0,75000.0,76,0,105
"Evanston Parks, Recreation and Community Services",2019,IL,319165450.0,75000.0,76,0,181
"Evanston Parks, Recreation and Community Services",2020,IL,320709230.0,74000.0,76,0,117
"Evanston Parks, Recreation and Community Services",2021,IL,296146104.0,75000.0,76,0,150
Mission Oaks Recreation and Parks District,2014,CA,1222902.0,63000.0,17,0,14
Mission Oaks Recreation and Parks District,2012,CA,,65000.0,16,0,
Mission Oaks Recreation and Parks District,2011,CA,3885000.0,62500.0,16,0,
Mission Oaks Recreation and Parks District,2010,CA,3885000.0,62500.0,16,0,
Mission Oaks Recreation and Parks District,2017,CA,4552357.0,61129.0,15,,47
Howell Area Parks and Recreation Authority,2011,MI,950000.0,73500.0,3,0,11
Casa Grande Parks and Recreation,2020,AZ,6700000.0,58000.0,,,
Buckeye (City of) Community Services Department,2020,AZ,329837805.0,90000.0,11,3,
Buckeye (City of) Community Services Department,2019,AZ,323145914.0,82237.0,11,3,
Buckeye (City of) Community Services Department,2018,AZ,94530598.0,65192.0,11,2,63
Buckeye (City of) Community Services Department,2016,AZ,94530598.0,65192.0,11,2,63
Buckeye (City of) Community Services Department,2012,AZ,,50876.0,6,7,32
Buckeye (City of) Community Services Department,2014,AZ,60505700.0,56683.0,8,3,
Buckeye (City of) Community Services Department,2015,AZ,123445458.0,56683.0,9,3,41
Fairbanks North Star Borough Parks and Recreation,2017,AK,161454000.0,83000.0,,,
Fairbanks North Star Borough Parks and Recreation,2019,AK,96244230.0,98971.0,,,58
Fairbanks North Star Borough Parks and Recreation,2012,AK,142210544.0,99192.0,110,7,75
Margate (City of) Parks and Recreation,2020,FL,5019410.0,58430.0,19,40,51
Margate (City of) Parks and Recreation,2021,FL,5019410.0,58430.0,19,40,51
Margate (City of) Parks and Recreation,2022,FL,5019410.0,58430.0,19,40,51
Margate (City of) Parks and Recreation,2019,FL,4964410.0,58430.0,19,40,50
Margate (City of) Parks and Recreation,2016,FL,4403895.0,57226.0,19,40,50
Margate (City of) Parks and Recreation,2013,FL,,54270.0,19,48,35
Brentwood (City of) Parks and Recreation Department,2012,CA,,52000.0,65,10,74
Maple Grove Park and Recreation Board,2016,MN,37444500.0,69249.0,79,0,
Maple Grove Park and Recreation Board,2015,MN,36150200.0,68119.0,79,0,
Maple Grove Park and Recreation Board,2013,MN,34063800.0,63128.0,78,0,
Maple Grove Park and Recreation Board,2014,MN,36150200.0,68119.0,79,0,
Maple Grove Park and Recreation Board,2012,MN,34063800.0,63128.0,78,0,
Maple Grove Park and Recreation Board,2011,MN,34063800.0,62440.0,,,
Maple Grove Park and Recreation Board,2010,MN,34063800.0,61567.0,,,
Maple Grove Park and Recreation Board,2009,MN,34063800.0,61567.0,78,0,
Skokie Park District,2010,IL,33900000.0,66170.0,50,0,192
Skokie Park District,2014,IL,33900000.0,65176.0,38,0,75
"Largo (City of) Recreation, Parks and Arts",2013,FL,137090400.0,77878.0,19,67,106
"Largo (City of) Recreation, Parks and Arts",2014,FL,121905100.0,78415.0,19,67,120
"Largo (City of) Recreation, Parks and Arts",2015,FL,138070300.0,77878.0,19,67,91
"Largo (City of) Recreation, Parks and Arts",2012,FL,137090400.0,77878.0,18,79,75
"Largo (City of) Recreation, Parks and Arts",2016,FL,13175700.0,85000.0,18,49,121
"Largo (City of) Recreation, Parks and Arts",2017,FL,130744800.0,85000.0,18,65,130
"Largo (City of) Recreation, Parks and Arts",2018,FL,149454300.0,79737.0,22,35,131
"Largo (City of) Recreation, Parks and Arts",2019,FL,167699700.0,82000.0,22,35,133
"Largo (City of) Recreation, Parks and Arts",2022,FL,71357400.0,82341.0,16,8,144
"Largo (City of) Recreation, Parks and Arts",2020,FL,187575200.0,84130.0,22,42,118
"Largo (City of) Recreation, Parks and Arts",2021,FL,187575200.0,84130.0,22,42,118
Fort Myers Recreation and Parks Divisions,2009,FL,,68689.0,,,
Fort Myers Recreation and Parks Divisions,2012,FL,84514700.0,62298.0,,,
Rome-Floyd Parks and Recreation Authority,2010,GA,4000000.0,96250.0,,,
Oak Park (Park District of),2016,IL,20499670.0,51878.0,23,0,149
Oak Park (Park District of),2017,IL,20785195.0,52440.0,23,0,111
Oak Park (Park District of),2019,IL,21859111.0,51793.0,23,0,182
Oak Park (Park District of),2018,IL,20785194.0,51793.0,23,0,182
Oak Park (Park District of),2010,IL,9098942.0,51878.0,23,0,112
Oak Park (Park District of),2012,IL,,52000.0,23,0,50
Oak Park (Park District of),2011,IL,,52000.0,23,0,50
Oak Park (Park District of),2014,IL,16554851.0,52066.0,23,0,97
Oak Park (Park District of),2013,IL,,52015.0,,,50
Oak Park (Park District of),2015,IL,16210423.0,52066.0,23,0,115
Oak Park (Park District of),2021,IL,17134258.0,52233.0,26,8,121
Oak Park (Park District of),2020,IL,17123798.0,52233.0,26,8,109
Oak Park (Park District of),2022,IL,19947851.0,53224.0,26,8,"9,831"
Victoria Parks and Recreation,2011,TX,3750000.0,62592.0,16,0,64
Rockville Recreation and Parks Dept,2012,MD,108859001.0,61209.0,65,5,229
Rockville Recreation and Parks Dept,2011,MD,104933936.0,63000.0,65,5,161
Rockville Recreation and Parks Dept,2015,MD,20421737.0,62000.0,65,2,204
Rockville Recreation and Parks Dept,2018,MD,25172270.0,65171.0,65,7,228
Rockville Recreation and Parks Dept,2019,MD,84644192.0,68079.0,71,3,230
Rockville Recreation and Parks Dept,2022,MD,86480000.0,67139.0,71,3,214
Rockville Recreation and Parks Dept,2020,MD,84644192.0,68079.0,71,3,230
Rockville Recreation and Parks Dept,2021,MD,94781548.0,68181.0,71,3,220
Allen (City of) Parks and Recreation Department,2016,TX,199384266.0,93528.0,52,51,217
Allen (City of) Parks and Recreation Department,2012,TX,164485514.0,87743.0,56,65,103
Allen (City of) Parks and Recreation Department,2015,TX,183996928.0,91429.0,52,51,212
Edmond (City of),2013,OK,184835640.0,81405.0,,,
Edmond (City of),2021,OK,645082284.0,94428.0,37,3,45
"Bloomington Parks, Recreation, and Cultural Arts Department",2013,IL,164812554.0,76610.0,41,143,139
"Bloomington Parks, Recreation, and Cultural Arts Department",2010,IL,,76610.0,175,0,56
"Bloomington Parks, Recreation, and Cultural Arts Department",2011,IL,127000000.0,76610.0,45,139,62
"Gary (City of), Dep of Public Parks",2013,IN,,80221.0,57,"1,000",
Dearborn Recreation Department,2010,MI,,92382.0,,,
Dearborn Recreation Department,2018,MI,12611199.0,98000.0,,,
"Hamburg Department of Youth, Recreatio and Senior Services",2011,NY,,55000.0,,,7
"Hamburg Department of Youth, Recreatio and Senior Services",2016,NY,2269071.0,56963.0,47,52,126
Sammamish Parks and Recreation,2019,WA,70710440.0,65733.0,14,0,29
Sammamish Parks and Recreation,2021,WA,57030189.0,65892.0,15,0,29
Sammamish Parks and Recreation,2020,WA,57030189.0,65892.0,15,0,29
Sammamish Parks and Recreation,2022,WA,55030114.0,67455.0,13,12,37
Hoover,2011,AL,1500000.0,80000.0,,,40
Watauga County Parks and Recreation,2013,NC,879877.0,51871.0,6,5,
Watauga County Parks and Recreation,2017,NC,1035605.0,54353.0,,,10
Watauga County Parks and Recreation,2016,NC,967710.0,53530.0,10,5,13
Watauga County Parks and Recreation,2020,NC,1637237.0,54353.0,,,10
Santee Lakes Recreation Preserve,2012,CA,4250000.0,57197.0,1,0,17
Longwood Leisure Services Department,2011,FL,,65500.0,2,0,
Chisago County Parks Division,2010,MN,250000.0,53887.0,5,0,4
Canton Joint Recreation District,2012,OH,900000.0,75000.0,,,
Greenville (City of) Parks and Recreation Department,2020,SC,219674124.0,70635.0,35,500,91
Greenville (City of) Parks and Recreation Department,2021,SC,215786214.0,70720.0,35,2,70
Greenville (City of) Parks and Recreation Department,2014,SC,74646927.0,61397.0,39,17,122
Greenville (City of) Parks and Recreation Department,2015,SC,76254750.0,61397.0,39,17,122
Greenville (City of) Parks and Recreation Department,2018,SC,184337632.0,68219.0,35,500,107
Greenville (City of) Parks and Recreation Department,2017,SC,158568640.0,67453.0,38,35,100
Blaine Park and Recreation,2010,MN,25600000.0,58500.0,73,0,10
Byram Township Parks and Recreation,2016,NJ,95000.0,89000.0,,,
Madera (City of) Parks and Community Services,2012,CA,,62219.0,,,
Madera (City of) Parks and Community Services,2018,DE,90364712.0,66000.0,,,
Odessa (City of) Parks and Recreation,2013,TX,,99000.0,36,12,41
Palo Alto (City of),2013,CA,138026000.0,65412.0,,,
Redmond (City of),2012,WA,523100000.0,55000.0,17,6,
Corvallis Parks and Recreation,2013,OR,82051530.0,55055.0,,,76
Corvallis Parks and Recreation,2014,OR,,55298.0,,,
Corvallis Parks and Recreation,2015,OR,,55298.0,,,
Corvallis Parks and Recreation,2012,OR,82051530.0,55055.0,,,76
Corvallis Parks and Recreation,2010,OR,85480460.0,54462.0,,,76
Decatur Park District,2019,IL,14000000.0,75000.0,,,
Decatur Park District,2011,IL,13785237.0,76199.0,60,0,
Farmington Hills Special Services,2012,MI,7238747.0,79740.0,,,81
Farmington Hills Special Services,2014,MI,90234063.0,81295.0,7,9,97
Farmington Hills Special Services,2015,MI,7400000.0,81000.0,18,10,112
Farmington Hills Special Services,2019,MI,158945634.0,81154.0,12,7,129
Farmington Hills Special Services,2016,MI,8600000.0,80000.0,12,6,114
Frederick County Parks and Recreation,2015,VA,264547161.0,82377.0,4,20,74
Grapevine Parks and Recreation,2018,TX,12539792.0,50426.0,49,66,111
Grapevine Parks and Recreation,2022,TX,,53317.0,49,66,113
Grapevine Parks and Recreation,2021,TX,64519648.0,53317.0,50,66,112
Grapevine Parks and Recreation,2020,TX,59155756.0,52980.0,49,66,113
Hancock Park District,2011,OH,1371313.0,74782.0,31,0,18
Irondequoit Parks and Recreation,2011,NY,18200000.0,52346.0,18,0,19
Pasco Parks and Recreation,2010,WA,,60000.0,,,
Pleasant Valley Recreation and Park District,2018,CA,8602281.0,73262.0,28,6,119
Pleasant Valley Recreation and Park District,2016,CA,8482027.0,67608.0,,,
Pleasant Valley Recreation and Park District,2020,CA,10247790.0,73262.0,28,6,118
Pleasant Valley Recreation and Park District,2021,CA,8303038.0,73262.0,28,6,120
Pleasant Valley Recreation and Park District,2022,CA,8303038.0,73262.0,28,6,120
San Benito County,2012,CA,217000.0,56884.0,2,0,4
Southeastern Livingston County Recretion Authority,2011,MI,650000.0,60000.0,1,0,4
Waterloo Leisure Services Commission,2013,IA,,68563.0,52,25,179
West Shore Recreation Commission,2011,PA,55000.0,55000.0,,,
Portsmouth (City of) - Parks and Recreation,2013,VA,,95535.0,,,
Missoula Parks and Recreation,2014,MT,101172035.0,68394.0,75,0,31
"Castle Rock (Town of), Parks and Recreation Department",2021,CO,15087377.0,71927.0,24,0,154
"Castle Rock (Town of), Parks and Recreation Department",2013,CO,81587159.0,53466.0,19,7,39
"Castle Rock (Town of), Parks and Recreation Department",2015,CO,136288585.0,59374.0,26,10,60
"Castle Rock (Town of), Parks and Recreation Department",2018,CO,,66902.0,21,,55
"Castle Rock (Town of), Parks and Recreation Department",2019,CO,15087377.0,71927.0,23,0,154
San Marcos (City of) Community Services,2014,CA,63744113.0,89387.0,17,0,13
San Marcos (City of) Community Services,2021,CA,80306022.0,94833.0,,,0
Eagan Parks and Recreation,2022,MN,68922900.0,69785.0,60,7,89
Eagan Parks and Recreation,2020,MN,39300000.0,66372.0,59,7,89
Eagan Parks and Recreation,2021,MN,64200000.0,68855.0,60,7,89
Eagan Parks and Recreation,2013,MN,30184675.0,64854.0,55,20,209
Eagan Parks and Recreation,2017,MN,33600200.0,64200.0,56,7,86
Eagan Parks and Recreation,2019,MN,36700000.0,66627.0,58,7,89
Eagan Parks and Recreation,2018,MN,34722000.0,64200.0,58,7,87
Medford Parks and Recreation Department,2015,OR,120000000.0,76462.0,33,22,56
Medford Parks and Recreation Department,2014,OR,,76462.0,33,21,65
Medford Parks and Recreation Department,2013,OR,119820590.0,76462.0,33,21,65
Medford Parks and Recreation Department,2019,OR,328465870.0,82347.0,36,3,70
Medford Parks and Recreation Department,2020,OR,328465870.0,82347.0,36,3,70
Medford Parks and Recreation Department,2021,OR,95019690.0,81145.0,31,56,99
Medford Parks and Recreation Department,2022,OR,138000000.0,88000.0,31,56,52
Lillington (Town of),2014,NC,253805.0,90505.0,10,7,
Grand Blanc Parks and Recreation Commission,2015,MI,1100000.0,50000.0,2,1,14
Jefferson County Parks and Recreation,2012,WV,25688909.0,54504.0,7,3,17
Jefferson County Parks and Recreation,2017,WV,1122780.0,56000.0,10,2,21
"San Clemente (City of) Beaches, Parks, and Recreation",2014,CA,,64542.0,,,
Huntersville Parks and Recreation ,2014,NC,48814411.0,51567.0,12,12,30
Huntersville Parks and Recreation ,2017,NC,34837000.0,60000.0,,,27
S George (City of) Leisure Services,2016,UT,66099009.0,87500.0,42,146,38
Perth Amboy (City of)/Office of Recreation,2017,NJ,460000.0,60000.0,,,
Perth Amboy (City of)/Office of Recreation,2015,NJ,192000.0,51000.0,,,0
Wake Forest Parks and Recreation,2022,NC,28300000.0,50000.0,12,0,24
Wake Forest Parks and Recreation,2021,NC,28300000.0,50000.0,12,0,24
S George (City of),2014,UT,12093727.0,77500.0,42,147,159
S George (City of),2013,UT,49824489.0,77500.0,41,124,155
S George (City of),2009,UT,49824489.0,77000.0,34,101,128
City of Bloomington Parks and Recreation,2014,IN,42199868.0,81963.0,38,2,119
City of Bloomington Parks and Recreation,2015,IN,42199868.0,81963.0,38,2,119
City of Bloomington Parks and Recreation,2018,IN,10166188.0,84981.0,,,
City of Bloomington Parks and Recreation,2019,IN,11296348.0,84981.0,31,2,115
City of Bloomington Parks and Recreation,2017,IN,7356577.0,84465.0,30,3,105
City of Bloomington Parks and Recreation,2016,IN,7400827.0,84067.0,30,3,105
City of Bloomington Parks and Recreation,2022,IN,79979750.0,79968.0,29,40,57
City of Bloomington Parks and Recreation,2021,IN,96347950.0,84116.0,34,28,113
City of Bloomington Parks and Recreation,2020,IN,,85981.0,,,
Joplin Parks and Recreation,2014,MO,4528903.0,50150.0,,,
North Port (City of),2014,FL,997120.0,58378.0,26,0,19
North Port (City of),2018,FL,82189340.0,66300.0,26,0,32
North Port (City of),2019,FL,3955870.0,70000.0,,,
North Port (City of),2020,FL,170478610.0,77561.0,26,0,45
North Port (City of),2022,FL,173023930.0,78129.0,28,3,62
Carmichael Recreation and Park District,2014,CA,3256860.0,61782.0,13,0,18
Walnut Creek (City of),2015,CA,86500000.0,67673.0,14,0,20
Walnut Creek (City of),2017,CA,86500000.0,67673.0,14,0,20
Walnut Creek (City of),2016,CA,77646173.0,67673.0,14,0,20
"Newport Beach (City of), Recreation and Senior Services Department",2017,CA,,86831.0,64,17,79
"Newport Beach (City of), Recreation and Senior Services Department",2013,CA,219183816.0,87068.0,64,0,
"Newport Beach (City of), Recreation and Senior Services Department",2014,CA,219183816.0,87068.0,64,0,69
South San Francisco Parks and Recreation,2020,CA,112000000.0,68000.0,36,,145
Manhattan Parks and Rec,2015,KS,134125392.0,56078.0,28,0,220
Manhattan Parks and Rec,2016,KS,8000000.0,60000.0,,,
Spalding County Parks and Recreation,2018,GA,2100000.0,65000.0,,,
Spalding County Parks and Recreation,2014,GA,2334885.0,63829.0,18,31,
James City County Parks and Recreation,2015,VA,175250000.0,72583.0,20,0,99
James City County Parks and Recreation,2013,VA,165630000.0,70516.0,18,0,101
James City County Parks and Recreation,2014,VA,171500000.0,70516.0,18,0,100
James City County Parks and Recreation,2018,VA,196250000.0,75524.0,17,,107
James City County Parks and Recreation,2019,VA,205850000.0,76397.0,17,,108
James City County Parks and Recreation,2016,VA,186964000.0,73147.0,17,0,101
James City County Parks and Recreation,2017,VA,193415000.0,74404.0,17,0,111
James City County Parks and Recreation,2022,VA,202200000.0,79882.0,17,0,102
James City County Parks and Recreation,2020,VA,211825000.0,76523.0,17,0,98
James City County Parks and Recreation,2021,VA,196238400.0,76523.0,17,0,103
Mishawaka (City of) Parks and Recreation Department,2015,IN,3520000.0,50000.0,,,
"Novi (City of), Dep of Parks Recreation and Cultural Services",2019,MI,87128641.0,59911.0,24,4,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2018,MI,134140300.0,59911.0,20,5,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2016,MI,101559135.0,59911.0,18,5,10
"Novi (City of), Dep of Parks Recreation and Cultural Services",2017,MI,85867163.0,59911.0,18,5,10
"Novi (City of), Dep of Parks Recreation and Cultural Services",2014,MI,55299118.0,57960.0,17,5,26
"Novi (City of), Dep of Parks Recreation and Cultural Services",2015,MI,82820120.0,59911.0,18,5,10
"Novi (City of), Dep of Parks Recreation and Cultural Services",2022,MI,68948058.0,66243.0,24,4,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2020,MI,87128641.0,59911.0,24,4,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2021,MI,68948058.0,59911.0,24,4,29
Santa Fe Parks and Recreation Department,2015,NM,16314859.0,69976.0,70,22,198
Santa Fe Parks and Recreation Department,2017,NM,336165026.0,83875.0,75,18,172
Santa Fe Parks and Recreation Department,2016,NM,320000000.0,67947.0,71,300,153
Rockdale County Parks and Recreation,2017,GA,2684359.0,89355.0,17,11,40
Rockdale County Parks and Recreation,2019,GA,3010857.0,89866.0,15,12,42
Rockdale County Parks and Recreation,2020,GA,2215890.0,89866.0,15,12,50
Rockdale County Parks and Recreation,2021,GA,3722646.0,89866.0,15,12,39
Rockdale County Parks and Recreation,2023,GA,4227570.0,94082.0,15,12,39
Rockdale County Parks and Recreation,2022,GA,3722646.0,89866.0,15,12,39
Lynchburg Parks and Recreation,2022,VA,426094137.0,79099.0,27,7,54
