Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Jefferson Parks and Recreation Department,2011,GA,1182000.0,7900.0,6,0,13
North of the River Recreation and Park District,2011,CA,17000000.0,123300.0,,,
North of the River Recreation and Park District,2012,CA,,,,,
North of the River Recreation and Park District,2016,CA,11700000.0,130000.0,24,0,67
North of the River Recreation and Park District,2019,CA,7000000.0,140000.0,24,2,113
North of the River Recreation and Park District,2018,CA,12017421.0,135000.0,,,
Casper Recreation Division,2010,WY,39221357.0,54874.0,,,
Show Low (City of),2012,AZ,,10000.0,8,3,7
"Rio Rancho (City of) Parks, Recreation and Community Services",2012,NM,,,,,
"Rio Rancho (City of) Parks, Recreation and Community Services",2014,NM,,,,,
"Rio Rancho (City of) Parks, Recreation and Community Services",2013,NM,,89500.0,37,12,100
"Rio Rancho (City of) Parks, Recreation and Community Services",2015,NM,,93820.0,,,
Stroud Region Open Space and Recreation Commission,2012,PA,780302.0,34620.0,44,0,3
Colebrook Recreation Department,2010,NH,,,,,
Urbana Park District,2011,IL,,,,,
"Roseville Parks, Recreation and Libraries Department",2010,CA,,118788.0,66,0,
Angleton Parks and Recreation,2010,TX,27085984.0,19000.0,,,
Fort Smith Parks and Recreation ,2011,AR,2296960.0,84000.0,,,
Fort Smith Parks and Recreation ,2013,AR,,,,,
Fort Smith Parks and Recreation ,2014,AR,110085999.0,87000.0,25,160,44
West Hartford Human and Leisure Services,2011,CT,215000000.0,63589.0,55,0,82
West Hartford Human and Leisure Services,2010,CT,216865150.0,61045.0,55,0,
Trotwood Parks and Recreation Department,2009,OH,31490705.0,27545.0,5,0,4
Trotwood Parks and Recreation Department,2011,OH,23371085.0,24431.0,5,0,5
Knox County Parks and Recreation,2011,TN,,,,,
Knox County Parks and Recreation,2012,TN,,432000.0,,,12
Knox County Parks and Recreation,2013,TN,,,,,
Knox County Parks and Recreation,2015,TN,,436983.0,,,
El Centro (City of),2013,CA,42477784.0,43242.0,,,
Pico Rivera Department of Parks and Recreation ,2013,CA,,,,,
Pico Rivera Department of Parks and Recreation ,2012,CA,32051500.0,63400.0,,,
Pico Rivera Department of Parks and Recreation ,2010,CA,128000000.0,65000.0,,,
US Army Corps of Engineers,2010,CA,,,,,
US Army Corps of Engineers,2012,CA,,,,,
Annapolis Recreation and Parks,2010,MD,84000000.0,36600.0,,,
Los Alamos County,2012,NM,,,,,
Los Alamos County,2013,NM,,17000.0,,,
S Charles Parks and Recreation Department,2013,MO,6375000.0,66463.0,23,0,
S Charles Parks and Recreation Department,2011,MO,,,,,
Saco Parks and Recreation Department,2011,ME,,18482.0,,,
Saco Parks and Recreation Department,2012,ME,,,,,
Millerton (Village of),2013,NY,391150.0,1009.0,1,0,5
Statesville (City of) Recreation and Parks Department,2014,NC,90221491.0,24710.0,20,5,56
Statesville (City of) Recreation and Parks Department,2012,NC,91000000.0,24798.0,20,0,33
Statesville (City of) Recreation and Parks Department,2019,NC,4000000.0,26657.0,,,
Statesville (City of) Recreation and Parks Department,2020,NC,101496750.0,27528.0,17,4,46
Ingham County Parks,2020,,,,,,
Ingham County Parks,2012,MI,,,,,
Auburndale (City of) Parks and Recreation Department,2013,FL,30000000.0,13000.0,,,
"Aberdeen Parks, Recreation and Forestry Department",2012,SD,,,,,
"Aberdeen Parks, Recreation and Forestry Department",2011,SD,,,,,
"Aberdeen Parks, Recreation and Forestry Department",2010,SD,,,,,
"Aberdeen Parks, Recreation and Forestry Department",2017,SD,6228628.0,28400.0,24,2,104
"Aberdeen Parks, Recreation and Forestry Department",2016,SD,3528985.0,,,,
Klamath Falls (City of) - Parks,2019,OR,1420100.0,21536.0,27,,11
Klamath Falls (City of) - Parks,2013,OR,69013450.0,21005.0,,,
Klamath Falls (City of) - Parks,2020,OR,1579000.0,22000.0,27,,13
Polk County Recreation,2010,NC,,,,,
Polk County Recreation,2011,NC,20710248.0,20000.0,,,2
Southborough Recreation,2011,MA,,,,,3
Southborough Recreation,2012,MA,44408260.0,8800.0,,,3
"Mentor (City of) Parks, Recreation and Public Lands",2011,OH,,,,,
"Mentor (City of) Parks, Recreation and Public Lands",2018,OH,99000000.0,47000.0,12,3,89
Westfield (City of) Parks and Recreation,2011,IN,22901055.0,30068.0,11,0,6
Peoria Park District,2011,IL,42270125.0,125555.0,85,0,417
Peoria Park District,2010,IL,41406597.0,130000.0,85,0,412
Peoria Park District,2009,IL,42270125.0,125000.0,85,0,410
Peoria Park District,2012,IL,44050175.0,130000.0,85,0,417
Peoria Park District,2013,IL,47091839.0,130000.0,85,0,417
Palmdale (City of) Department of Parks and Recreation,2014,CA,,157161.0,17,0,
Palmdale (City of) Department of Parks and Recreation,2015,CA,6400000.0,157161.0,17,0,13
Palmdale (City of) Department of Parks and Recreation,2016,CA,98913830.0,158351.0,16,0,87
Palmdale (City of) Department of Parks and Recreation,2017,,,,,,
Palmdale (City of) Department of Parks and Recreation,2020,CA,,155079.0,16,0,87
Farmington City Parks and Rec,2012,UT,,18500.0,,,9
Manheim Township Parks and Recreation,2011,PA,18960247.0,38000.0,14,0,22
Florida Dept of Env Protection,2010,FL,,,,,
Rock County Parks Division,2011,WI,589911.0,160331.0,17,0,
Rock County Parks Division,2015,WI,550000.0,160000.0,,,5
"Long Beach (City of) Department of Parks, Recreation and Marine",2013,CA,,,,,
"Long Beach (City of) Department of Parks, Recreation and Marine",2012,CA,,463000.0,162,200,593
Cary (Town of),2013,NC,126780311.0,145693.0,30,2,66
US Navy MWR,2013,WA,,,,,
Lombard Park District,2013,IL,7678430.0,43000.0,17,0,73
Lombard Park District,2014,IL,7564240.0,43395.0,17,0,72
Lombard Park District,2015,IL,7807312.0,43395.0,17,0,73
Lombard Park District,2012,IL,7844225.0,43000.0,17,0,77
Lombard Park District,2011,IL,7810461.0,43000.0,17,0,76
Lombard Park District,2017,IL,8499474.0,43797.0,17,0,78
Lombard Park District,2016,IL,7689429.0,43797.0,17,0,78
Lombard Park District,2019,IL,9821967.0,43395.0,16,2,103
Lombard Park District,2020,IL,10370593.0,43904.0,16,2,68
Lombard Park District,2021,IL,11016418.0,43904.0,16,3,85
Lombard Park District,2022,IL,10599185.0,43891.0,16,3,98
Anchorage Park and Recreation,2011,AK,,,266,0,
Anchorage Park and Recreation,2010,AK,,290588.0,266,0,136
Anchorage Park and Recreation,2009,AK,,,266,0,
Anchorage Park and Recreation,2012,AK,,,266,0,
Palm Beach County Parks and Recreation Department,2010,FL,1709909738.0,1320134.0,104,0,595
Palm Beach County Parks and Recreation Department,2015,FL,3969772159.0,1378417.0,95,0,689
Palm Beach County Parks and Recreation Department,2014,FL,3944627415.0,1360238.0,94,0,559
Palm Beach County Parks and Recreation Department,2019,FL,4791766384.0,1485941.0,95,0,735
Palm Beach County Parks and Recreation Department,2018,FL,2770582082.0,1433417.0,95,0,734
Palm Beach County Parks and Recreation Department,2016,FL,2480323490.0,1391741.0,96,0,705
Palm Beach County Parks and Recreation Department,2017,FL,2628633369.0,1443810.0,96,0,726
Palm Beach County Parks and Recreation Department,2022,FL,5989209333.0,1518152.0,97,0,585
Palm Beach County Parks and Recreation Department,2021,FL,4651131941.0,1502495.0,95,0,748
Palm Beach County Parks and Recreation Department,2020,FL,2770582082.0,1466494.0,95,0,734
Manchester-by-the-Sea Parks and Recreation,2014,MA,12608440.0,5500.0,,,10
Manchester-by-the-Sea Parks and Recreation,2011,MA,,,,,
Manchester-by-the-Sea Parks and Recreation,2012,MA,,,,,
S Joseph County Parks,2012,IN,14608363.0,266700.0,4,4,29
Wilmette Park District,2014,IL,23620398.0,27363.0,19,7,70
Wilmette Park District,2013,IL,20055064.0,27087.0,21,24,220
Wilmette Park District,2015,IL,24231737.0,27087.0,19,17,70
Wilmette Park District,2019,IL,22447396.0,27418.0,19,12,"1,099"
Pocatello Parks and Recreation,2012,ID,,54810.0,,,
Laguna Hills (City of),2013,CA,,,,,
Pinehurst Parks and Recreation,2011,NC,15000000.0,14000.0,5,0,16
Pinehurst Parks and Recreation,2021,NC,21300000.0,17500.0,5,0,23
Allentown Department of Parks and Recreation,2011,PA,90918449.0,118032.0,39,0,100
New Orleans Recreation Development Foundation,2012,LA,,,,,
Portland Parks and Recreation,2012,OR,,,,,
Portland Parks and Recreation,2011,OR,,,,,
Portland Parks and Recreation,2010,OR,,,,,
Portland Parks and Recreation,2013,OR,93492708.0,585558.0,203,0,"1,014"
Portland Parks and Recreation,2019,OR,174625904.0,653115.0,330,,975
Portland Parks and Recreation,2017,OR,128370592.0,639863.0,329,0,988
Portland Parks and Recreation,2016,OR,141034509.0,632309.0,328,0,983
Portland Parks and Recreation,2020,OR,147079228.0,654741.0,329,,820
Waukegan Park District,2020,IL,15834533.0,88159.0,39,11,"4,460"
Waukegan Park District,2021,IL,15345441.0,86075.0,"5,300",0,94
Waukegan Park District,2022,IL,16934082.0,89321.0,"5,300",0,101
Waukegan Park District,2023,IL,16934082.0,89321.0,"5,300",0,101
Waukegan Park District,2016,IL,10189277.0,88475.0,40,9,96
Waukegan Park District,2017,IL,10189277.0,88475.0,40,9,96
Waukegan Park District,2019,IL,15834533.0,88159.0,39,11,"4,460"
Waukegan Park District,2018,IL,10565330.0,89078.0,40,9,99
Waukegan Park District,2013,IL,9297690.0,88892.0,40,7,114
Waukegan Park District,2014,IL,9231095.0,88892.0,40,8,114
Waukegan Park District,2015,IL,9629505.0,89892.0,40,8,97
Waukegan Park District,2010,IL,,89078.0,47,0,115
Waukegan Park District,2009,IL,,87901.0,47,0,115
Waukegan Park District,2011,IL,,89078.0,47,0,115
Waukegan Park District,2012,IL,10635575.0,89078.0,40,7,118
Leesburg Parks and Recreation,2012,FL,,,,,
Leesburg Parks and Recreation,2011,FL,,,,,
Leesburg Parks and Recreation,2013,FL,,,,,
Leesburg Parks and Recreation,2020,FL,180000000.0,23000.0,,,
Pelican Park - Recreation District #1,2012,LA,,60000.0,1,0,36
Pelican Park - Recreation District #1,2017,LA,4006895.0,65000.0,2,1,46
Lincoln Park Family Aquatic Center,2012,OH,17500000.0,36689.0,,,
Highlands Ranch Metro District,2012,CO,66685165.0,96713.0,25,11,74
Highlands Ranch Metro District,2013,CO,,,,,
Highlands Ranch Metro District,2021,CO,17929163.0,103444.0,31,14,84
Highlands Ranch Metro District,2022,CO,17272709.0,103444.0,26,14,91
Matanuska Susitna Borough Parks,2011,AK,,88379.0,23,9,
Matanuska Susitna Borough Parks,2017,AK,,,,,
Columbia Parks and Recreation Dept,2011,MO,,108500.0,,,
Columbia Parks and Recreation Dept,2012,MO,,,,,
Clinton (City of) Recreation and Parks Department,2013,NC,14151900.0,8639.0,,,
Clinton (City of) Recreation and Parks Department,2014,NC,13000000.0,8787.0,4,0,9
Clinton (City of) Recreation and Parks Department,2018,NC,14633200.0,8500.0,4,0,21
Clinton (City of) Recreation and Parks Department,2019,NC,15857700.0,8529.0,4,0,13
Clinton (City of) Recreation and Parks Department,2020,NC,9424200.0,8639.0,4,0,9
Branson Parks and Recreation,2019,MO,29160391.0,87054.0,16,,38
Branson Parks and Recreation,2016,MO,,,,,
Branson Parks and Recreation,2012,MO,2100000.0,10500.0,16,0,39
Branson Parks and Recreation,2010,MO,,,,,
Albany (City of) Recreation and Parks,2013,GA,,77683.0,,,
Coconut Creek (City of) Parks and Recreation,2013,FL,58440410.0,53915.0,20,0,52
Coconut Creek (City of) Parks and Recreation,2014,FL,58440410.0,53915.0,20,0,52
Coconut Creek (City of) Parks and Recreation,2011,FL,58440410.0,53915.0,20,0,52
Calgary (The City of) Parks,2011,AB,,,,,
Calgary (The City of) Parks,2009,,,,,,
Calgary (The City of) Parks,2012,AB,,1090000.0,,,345
Calgary (The City of) Parks,2015,AB,2852000000.0,1195194.0,"4,751",0,350
Calgary (The City of) Parks,2016,AB,3028000000.0,1230915.0,"4,798",0,
Calgary (The City of) Parks,2017,AB,3068446403.0,1235171.0,"4,931",0,0
Calgary (The City of) Parks,2019,AB,3242968378.0,1267344.0,"5,196",,
Calgary (The City of) Parks,2018,AB,3188601419.0,1246337.0,"5,016",0,0
"Roseville (City of) Parks, Recreation and Libraries",2018,CA,440700000.0,135868.0,76,160,291
"Roseville (City of) Parks, Recreation and Libraries",2019,CA,440700000.0,135868.0,76,160,291
"Roseville (City of) Parks, Recreation and Libraries",2012,CA,,120000.0,60,6,
"Roseville (City of) Parks, Recreation and Libraries",2020,CA,554000000.0,142000.0,77,23,532
"Roseville (City of) Parks, Recreation and Libraries",2021,AR,639211896.0,146594.0,79,,119
"Roseville (City of) Parks, Recreation and Libraries",2022,CA,766900000.0,151034.0,80,,127
Oak Island Parks and Recreation,2009,NC,,,,,
Oak Island Parks and Recreation,2010,NC,,,,,
Oak Island Parks and Recreation,2015,NC,954000.0,7400.0,,,16
Oak Island Parks and Recreation,2018,NC,1016000.0,7789.0,25,,8
Sugar Land Parks and Recreation Department,2018,TX,4441804.0,118169.0,,,
Sugar Land Parks and Recreation Department,2017,TX,94600000.0,85824.0,23,7,30
Sugar Land Parks and Recreation Department,2016,TX,3226910.0,87376.0,28,3,43
Sugar Land Parks and Recreation Department,2013,TX,94600000.0,85824.0,23,7,30
Sugar Land Parks and Recreation Department,2010,,,,26,0,
Sugar Land Parks and Recreation Department,2011,TX,94600000.0,85824.0,26,0,30
Sugar Land Parks and Recreation Department,2012,TX,94600000.0,85824.0,26,0,30
Sugar Land Parks and Recreation Department,2022,TX,97786211.0,118709.0,28,,30
Sugar Land Parks and Recreation Department,2020,TX,5213244.0,118709.0,27,8,30
Tigard Parks,2012,OR,,,,,
Tigard Parks,2015,OR,56345476.0,50787.0,30,32,14
Tigard Parks,2016,OR,59550000.0,50100.0,24,0,17
Tigard Parks,2017,OR,61000380.0,51253.0,27,4,16
Clayton Parks and Recreation Department,2017,,,,,,
Clayton Parks and Recreation Department,2013,NC,,,,,
Clayton Parks and Recreation Department,2012,NC,16431248.0,16472.0,7,0,9
Bridgeport (City of) Parks and Recreation,2013,CT,,,,,
Salt Lake City Natural Lands,2012,UT,,180000.0,,,98
Salt Lake City Natural Lands,2011,UT,,189899.0,0,40,3
Salt Lake City Natural Lands,2017,UT,13845143.0,192672.0,178,62,141
Salt Lake City Natural Lands,2016,UT,12874331.0,192672.0,178,62,134
Salt Lake City Natural Lands,2019,UT,15945023.0,196350.0,,,
Salt Lake City Natural Lands,2020,UT,16332086.0,200567.0,81,24,99
Salt Lake City Natural Lands,2021,UT,16256566.0,200567.0,86,204,157
Salt Lake City Natural Lands,2022,UT,425537407.0,200478.0,86,204,444
Grand Forks Park District,2011,ND,,,,,
Grand Forks Park District,2012,ND,,98056.0,37,0,53
Oregon Metro,2013,OR,,,,,
Newtown Parks and Recreation,2014,CT,22340000.0,27605.0,6,11,15
Newtown Parks and Recreation,2015,CT,2.0,,,,0
Newtown Parks and Recreation,2011,CT,103949026.0,26191.0,,,
Newtown Parks and Recreation,2018,CT,,,,,
Newtown Parks and Recreation,2016,CT,,26000.0,,,
Newtown Parks and Recreation,2020,CT,42274842.0,27891.0,10,3,16
Chesapeake Department of Parks and Recreation,2011,VA,,,,,
DC Department of Parks and Recreation,2011,DC,,617996.0,,,
DC Department of Parks and Recreation,2012,DC,35802037.0,617996.0,297,0,593
DC Department of Parks and Recreation,2015,DC,,658893.0,375,0,
DC Department of Parks and Recreation,2014,DC,,,,,
DC Department of Parks and Recreation,2013,DC,,,,,
DC Department of Parks and Recreation,2016,DC,51519860.0,658893.0,375,0,510
DC Department of Parks and Recreation,2017,DC,13385233000.0,681170.0,379,2,740
DC Department of Parks and Recreation,2018,DC,55640897.0,693972.0,365,0,553
DC Department of Parks and Recreation,2019,DC,14600000000.0,702455.0,248,,535
DC Department of Parks and Recreation,2021,DC,60166323.0,690093.0,244,0,650
DC Department of Parks and Recreation,2022,DC,73396001.0,670050.0,241,0,487
"Greeley Parks / Culture, Parks, and Recreation",2021,CO,123875443.0,108795.0,42,93,
"Greeley Parks / Culture, Parks, and Recreation",2020,CO,24092294.0,98500.0,42,93,179
"Greeley Parks / Culture, Parks, and Recreation",2018,CO,21294723.0,98500.0,41,8,231
"Greeley Parks / Culture, Parks, and Recreation",2017,CO,20002842.0,103037.0,41,8,227
"Greeley Parks / Culture, Parks, and Recreation",2013,CO,252375467.0,92889.0,41,0,171
"Greeley Parks / Culture, Parks, and Recreation",2014,CO,19264821.0,98500.0,41,8,215
"Greeley Parks / Culture, Parks, and Recreation",2011,CO,252375467.0,92889.0,41,0,171
"Greeley Parks / Culture, Parks, and Recreation",2010,CO,,,41,0,
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2011,NC,18039908.0,25547.0,10,5,15
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2012,NC,18039908.0,25547.0,10,5,15
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2014,NC,22425164.0,27481.0,10,5,16
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2015,NC,20132000.0,27481.0,13,3,17
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2017,NC,2025752.0,29500.0,14,3,17
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2016,NC,1873938.0,29500.0,13,3,16
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2018,NC,2025752.0,29500.0,14,3,17
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2020,NC,8701466.0,31737.0,14,3,20
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2021,NC,22994808.0,32000.0,14,3,18
"Cornelius Parks, Arts, Recreation and Culture (PARC) Department",2022,NC,26821521.0,32000.0,14,3,16
Noblesville Parks and Recereation Department,2021,IN,,69604.0,7,0,28
Noblesville Parks and Recereation Department,2011,IN,69000000.0,51969.0,4,5,13
Richmond Park and Recreation,2013,KY,,,,,
Chamberlain (City of),2012,SD,3082034.0,2500.0,,,1
Biddeford Recreation Department,2012,ME,,21386.0,18,0,14
Biddeford Recreation Department,2013,ME,876137.0,21277.0,18,0,14
"Morgan Hill (City of), Community Services Department",2013,CA,125000000.0,37882.0,,,
"Morgan Hill (City of), Community Services Department",2012,CA,108900000.0,37882.0,,,
Elk River (City of) Parks and Recreation Department,2012,MN,,25000.0,44,5,21
Elk River (City of) Parks and Recreation Department,2017,MN,14378400.0,22974.0,,,
Plymouth Parks and Recreation,2017,MN,86396474.0,77216.0,69,10,72
Plymouth Parks and Recreation,2016,MN,81956318.0,75057.0,65,9,73
Plymouth Parks and Recreation,2018,MN,89153099.0,78395.0,69,12,73
Plymouth Parks and Recreation,2019,MN,88873893.0,79475.0,72,16,70
Plymouth Parks and Recreation,2012,MN,,71000.0,51,15,75
Plymouth Parks and Recreation,2013,MN,65554542.0,74023.0,63,9,74
Plymouth Parks and Recreation,2014,MN,67971759.0,74023.0,65,9,73
Plymouth Parks and Recreation,2015,MN,77929754.0,75057.0,65,9,73
Plymouth Parks and Recreation,2020,MN,99090160.0,79650.0,70,15,66
Plymouth Parks and Recreation,2021,MN,101079836.0,79828.0,67,15,73
M Olive Recreation,2012,NJ,,,,,4
Lethbridge (City of) Parks,2012,AB,299436566.0,87882.0,119,"1,020",85
Fraser Valley Metropolitan Recreation District,2012,CO,,,,,
Fraser Valley Metropolitan Recreation District,2011,CO,3340942.0,5500.0,4,0,
Fraser Valley Metropolitan Recreation District,2010,CO,,,4,0,55
Fraser Valley Metropolitan Recreation District,2009,CO,,,4,0,
Fraser Valley Metropolitan Recreation District,2015,CO,3527473.0,6000.0,3,0,55
Fraser Valley Metropolitan Recreation District,2014,CO,4760632.0,5483.0,,,54
Purcell (City of) Parks and Recreation,2013,OK,,,,,4
Santa Clara County Parks and Recreation Department,2011,CA,38000000.0,1682585.0,,,
Santa Clara County Parks and Recreation Department,2017,CA,48289030.0,1919402.0,28,9,268
Santa Clara County Parks and Recreation Department,2022,CA,80000000.0,1936259.0,27,0,320
Santa Clara County Parks and Recreation Department,2021,CA,70000000.0,1936259.0,27,0,316
Santa Clara County Parks and Recreation Department,2020,CA,60000000.0,2000000.0,28,,267
Herndon (Town of) Parks and Recreation Dept,2020,VA,45647891.0,24545.0,10,1,24
Herndon (Town of) Parks and Recreation Dept,2021,VA,42369838.0,24601.0,10,1,35
Herndon (Town of) Parks and Recreation Dept,2022,VA,52830000.0,24339.0,10,1,41
Herndon (Town of) Parks and Recreation Dept,2017,VA,43642161.0,24554.0,10,1,
Herndon (Town of) Parks and Recreation Dept,2016,VA,4342454.0,24554.0,10,1,
Herndon (Town of) Parks and Recreation Dept,2019,VA,44622220.0,24545.0,10,1,
Herndon (Town of) Parks and Recreation Dept,2018,VA,43712157.0,24532.0,10,1,
Herndon (Town of) Parks and Recreation Dept,2011,VA,37790076.0,23292.0,8,0,52
Herndon (Town of) Parks and Recreation Dept,2012,VA,30605730.0,23424.0,8,0,50
Herndon (Town of) Parks and Recreation Dept,2013,VA,32294090.0,23572.0,8,0,51
Herndon (Town of) Parks and Recreation Dept,2014,VA,32548200.0,23591.0,8,0,51
Herndon (Town of) Parks and Recreation Dept,2015,VA,32843300.0,23612.0,8,0,50
Cabarrus County Active Living and Parks,2015,NC,213461012.0,192103.0,3,2,25
Cabarrus County Active Living and Parks,2014,NC,213461012.0,192103.0,3,2,25
Cabarrus County Active Living and Parks,2013,NC,211408859.0,184498.0,3,2,25
Cabarrus County Active Living and Parks,2012,NC,203399704.0,161473.0,3,0,17
Abington Township Parks and Recreation,2010,PA,32341194.0,56000.0,25,0,23
Brushy Creek Municipal Utility District,2010,TX,,,,,
Brushy Creek Municipal Utility District,2012,TX,,18000.0,10,5,24
Brushy Creek Municipal Utility District,2014,TX,,21764.0,,,
Brushy Creek Municipal Utility District,2015,TX,,21764.0,,,0
Brushy Creek Municipal Utility District,2016,TX,12542235.0,20000.0,10,5,32
Brushy Creek Municipal Utility District,2017,,,,,,
Brushy Creek Municipal Utility District,2023,TX,20729652.0,20000.0,12,100,71
Brushy Creek Municipal Utility District,2022,TX,14624512.0,22500.0,12,4,154
Brushy Creek Municipal Utility District,2021,TX,13099251.0,22500.0,12,4,154
Brushy Creek Municipal Utility District,2020,TX,12878486.0,21500.0,12,4,65
Ballwin Parks and Recreation ,2020,MO,20494569.0,31000.0,6,3,47
Ballwin Parks and Recreation ,2022,MO,20494569.0,31000.0,6,3,47
Ballwin Parks and Recreation ,2021,MO,5000000.0,31103.0,,,48
Ballwin Parks and Recreation ,2016,MO,4570268.0,31000.0,6,0,29
Ballwin Parks and Recreation ,2018,,,,,,
Ballwin Parks and Recreation ,2009,MO,15420367.0,32000.0,,,
Lake Worth (City of) Leisure Services Department,2011,FL,,35000.0,,,
Lake Worth (City of) Leisure Services Department,2018,FL,309000.0,35000.0,,,
Dallas Park and Recreation,2018,TX,2638491047.0,1280549.0,396,0,"1,106"
Dallas Park and Recreation,2019,TX,2788176596.0,1345047.0,397,,869
Dallas Park and Recreation,2016,TX,2417391104.0,1280549.0,381,0,830
Dallas Park and Recreation,2017,TX,2531336435.0,1280549.0,396,0,"1,106"
Dallas Park and Recreation,2015,TX,2392717142.0,1240985.0,381,0,831
Dallas Park and Recreation,2014,TX,2157269886.0,1241162.0,378,0,938
Dallas Park and Recreation,2013,,,,,,
Dallas Park and Recreation,2020,TX,2917059964.0,1345047.0,397,,898
Dallas Park and Recreation,2022,TX,3558432590.0,1295000.0,410,,899
Three Rivers Park District,2021,MN,59256974.0,851609.0,42,3,389
Three Rivers Park District,2011,MN,27000000.0,1152405.0,,,
Three Rivers Park District,2009,MN,47477548.0,,19,12,352
Three Rivers Park District,2010,MN,,,,,
Poughkeepsie Recreation Dept,2009,NY,,,22,0,
Poughkeepsie Recreation Dept,2011,NY,39737000.0,44000.0,22,0,11
Poughkeepsie Recreation Dept,2015,NY,6248684.0,44640.0,20,1,10
Poughkeepsie Recreation Dept,2016,NY,6248684.0,44640.0,20,1,10
Poughkeepsie Recreation Dept,2019,NY,913920.0,44035.0,21,1,10
Butts County Parks and Recreation Department,2009,GA,,24397.0,,,
Bartlett Park District,2013,IL,15483535.0,42000.0,,,168
Perinton Parks Department,2013,NY,,41104.0,10,29,8
Perinton Parks Department,2014,NY,19423252.0,46651.0,9,5,25
Perinton Parks Department,2015,NY,4329922.0,46000.0,,,0
Perinton Parks Department,2011,NY,16945674.0,48000.0,9,11,26
Perinton Parks Department,2012,NY,16945674.0,48000.0,9,11,26
Perinton Parks Department,2017,NY,4382475.0,46000.0,9,2,25
Fairfield Parks and Recreation,2017,OH,5019592.0,42647.0,34,35,54
Fairfield Parks and Recreation,2016,OH,5019592.0,42647.0,23,35,55
Fairfield Parks and Recreation,2019,OH,5258620.0,44000.0,25,35,55
Fairfield Parks and Recreation,2018,OH,5039346.0,42647.0,34,35,54
Fairfield Parks and Recreation,2011,OH,,,,,
Fairfield Parks and Recreation,2010,OH,5000000.0,42510.0,40,0,58
Fairfield Parks and Recreation,2015,OH,5017689.0,42647.0,23,35,55
Fairfield Parks and Recreation,2014,OH,58335000.0,42647.0,23,35,55
Fairfield Parks and Recreation,2013,OH,53500000.0,42647.0,23,35,54
Fairfield Parks and Recreation,2021,OH,5500000.0,44000.0,28,9,121
Fairfield Parks and Recreation,2020,OH,5500000.0,44000.0,28,9,121
Horry County Parks and Recreation,2010,SC,,263868.0,,,
Horry County Parks and Recreation,2009,SC,,263868.0,,,
Hawthorne (City of),2012,FL,,,,,
Hawthorne (City of),2013,FL,240000.0,1412.0,4,0,1
Murfreesboro Parks and Recreation,2013,TN,,108755.0,25,3,149
Milwaukee Public Schools Dep of Recreation and Com Services,2013,WI,17436087.0,598402.0,,,57
Milwaukee Public Schools Dep of Recreation and Com Services,2014,WI,17436087.0,598402.0,,,57
Milwaukee Public Schools Dep of Recreation and Com Services,2015,WI,,,,,0
Milwaukee Public Schools Dep of Recreation and Com Services,2009,WI,,,,,
Milwaukee Public Schools Dep of Recreation and Com Services,2010,WI,,594833.0,,,
Milwaukee Public Schools Dep of Recreation and Com Services,2011,WI,,594833.0,,,
Milwaukee Public Schools Dep of Recreation and Com Services,2018,WI,17436087.0,598402.0,,,57
Milwaukee Public Schools Dep of Recreation and Com Services,2019,WI,,,,,
Milwaukee Public Schools Dep of Recreation and Com Services,2017,WI,17436087.0,598402.0,,,57
Milwaukee Public Schools Dep of Recreation and Com Services,2020,WI,63359247.0,587721.0,53,0,284
Milwaukee Public Schools Dep of Recreation and Com Services,2021,WI,36733211.0,577222.0,53,0,289
Northfield Park District,2009,IL,,,,,
Northfield Park District,2015,IL,1700000.0,4800.0,3,0,12
Tyler ISD,2010,TX,,,,,
Newburyport Parks,2011,MA,,,,,
Newburyport Parks,2020,MA,347814.0,18500.0,,,4
Montrose Re District,2011,CO,2319815.0,31000.0,,,
Ambrose Recreation and Park District,2011,CA,960000.0,23000.0,,,
Pueblo Parks and Recreation,2011,CO,76803375.0,106595.0,78,0,89
Pueblo Parks and Recreation,2012,CO,,,,,
Pueblo Parks and Recreation,2014,CO,4535431.0,107000.0,86,0,38
Pueblo Parks and Recreation,2017,CO,5411787.0,109000.0,96,24,83
Pueblo Parks and Recreation,2019,CO,6111007.0,109000.0,80,,133
Pueblo Parks and Recreation,2020,CO,6568781.0,111750.0,80,,45
Pueblo Parks and Recreation,2021,CO,6737938.0,112361.0,80,,100
Pueblo Parks and Recreation,2022,CO,7202404.0,119000.0,80,0,104
Granby Recreation And Leisure Services,2019,CT,625000.0,11000.0,,,
Granby Recreation And Leisure Services,2013,CT,41000000.0,11000.0,4,1,2
Granby Recreation And Leisure Services,2015,CT,452810.0,11310.0,,,0
Burlington County parks System,2015,NJ,,,,,
Burlington County parks System,2011,NJ,,,,,
Burlington County parks System,2010,NJ,,,,,
"Norfolk Department of Recreation, Parks and Open Space ",2010,VA,785683700.0,234220.0,71,0,443
